sentence1	sentence2	label
i think the rate of processing is just about uh reached the rate of housing anyway so keep the keep the normal as it is can't upset the system very much	The rate of processing just reached the rate of housing, it used to be way below that.	1
No one would ever think of sentiment in connection with you.	Sentiment when connecting with you is beyond everyone's expectations.	0
AC Green's pretty good	AC Green's a horrible player.	2
i'm kind of familiar with the weather out that way in west Texas but not in not in Lewisville	I know exactly what the weather is like in Lewisville.  	2
The biography itself, which uses unpublished diaries and untapped Cuban government archives, is praised for having done a masterly job in evoking Che's complex character, in separating the man from the myth (Peter Canby, the New York Times Book Review ). The Weekly Standard 's Stephen Schwartz calls it tainted for having received official support from the Castro regime and for abetting a Che revival.	The biography uses Cuban government archives and shows Che's complexities, although it has been called tainted by Schwartz.	0
The building will also house two smaller volunteer-based programs, the Multi-Cultural Law Center and the Senior Lawyer Volunteer Project.	A couple of groups will work from the location.	0
they don't i don't i don't work at TI	I work at Boeing instead of TI.	1
Fruit, vegetables, electronics, and a little bit of everything else is on sale here.	Myriad things are available for purchase here.	0
The results of even the most well designed epidemiological studies are characterized by this type of uncertainty, though well-designed studies typically report narrower uncertainty bounds around the best estimate than do studies of lesser quality.	All studies have the same amount of uncertainty to them.	2
oh boy it the i think it's like one or the other isn't it i mean you either	I think it's one or the other.	0
Among the allegations is that Tokyo Joe--listen, he calls himself that-- duped subscribers to his e-mail advisory , exaggerating his annual returns by leaving out losing trades.	A man called Tokyo Joe omits information where he has lost money in deals. 	0
They crossed the Forth from Dunfermline at the narrows known to this day as Queensferry.	Queensferry is where the Queen was born.	1
Welts grew on each of the man's cheeks.	The welts on the man's cheeks were shrinking.	2
News argues that most of America's 93 million volunteers aren't doing much good.	News says that a lot of America's volunteers are not helping.	0
Dole : We ought to agree that somebody else should do it.	Someone else we appoint will do it.	1
For example, the first number in Column (10) shows that in FY 1997, the volume of mail sent by households to other households represented 6.6 percent of total First-Class volume.	Mail sent between households make up 6.6 percent of the total First-Class volume.	0
The Mosque of El-Jezzar, built in 1781, dominates the landside of the old city (the other three sides jut into the Mediterranean).	The old city contains the Mosque of El-Jezzar, which was built over 200 years ago.	0
(The Ramseys buried their daughter in Atlanta, then vacationed in Sea Island, Ga.) This absence, some speculate, gave the Ramseys time to work out a story to explain their innocence.	It's speculated hat the Ramseys ate their daughter.	2
They make a pretty pair working together.	They had worked together already.	1
And really it's a great relief to think he's going, Hastings, continued my honest friend. 	I'm glad to hear that criminal will be out of our community soon, remarked my colleague.	1
He was waiting for the Scotland Yard men. 	He wasn't waiting for anything.	2
yeah and they've got those bins that just stay there and they decorated them real cute you know with a bunch of big old flowers and stuff	The bins just stay there and are decorated.	0
and it just depends on how bad that person is	It depends on the condition of the person.	0
course the head bangers i stay away from those entirely	I purposefully seek out head bangers as much as I can.	2
the only thing that they had a great abundance of was uh you know human beings	They had few other resources.	1
it doesn't have to do i mean the thing is is that you know it's like you might be standing somewhere right and like let's say you're you you go you know you're driving out and you're driving back home and it's late at night and you stop by one of these you know twenty four hour you know gas stations joints	Some drivers stop by 24 hour stations at night.	0
4 billion for mercury.	Cleaning up mercury pollution costs billions of dollars every year.	1
In 1995 and again in 1998, the Legal Services Corporation recognized that legal services programs were going to have to change the method and manner in which they conducted their business if they were going to remain viable and responsive to the needs of low income persons.	The Legal Services Corporation has never considered the needs of the poor.	2
um yeah that sounds kind of neat uh is location at all important to you like you know how far it is from your house or whatever	Location doesn't matter to some people but it may matter to you I don't know. 	1
and maybe we'll run across each other again	Perhaps we will cross paths in the future.	0
Don't take it to heart, lad, he said kindly.	You should buy into what was said.	2
"She seemed so different  """	She acted rather different.	0
2.5 Financial audits are performed under the American Institute of Certified Public Accountants' (AICPA) generally accepted auditing standards for field work and reporting, as well as the related AICPA Statements on Auditing Standards (SASs) which interpret the standards and provide guidance on conducting such work.	Financial audits are not performed with generally accepted auditing standards.	2
yeah it's just a matter of education i think	I think it just depends on education.	0
I put it to you that you did do so?	I am assuming that you did do so?	0
From here it's all through the charming hillside village of Saint-Claude, with its upper-income homes, and on toward the summit or as far as the gendarmes are allowing traffic to proceed that day.	The upper-income homes are very decadent and majestic.	1
Be of good cheer,	Be of good cheer, for beer time is near.	1
Tracking down the tiger is a subtle affair, and requires a degree of dedication, calm, and stealth.	Searching for tigers requires great skill.	0
no not it not no it's a it's not something	It's not anything	0
Each state is different, and in some states, intra-state regions differ significantly as well.	All states are exactly the same.	2
Generally, if pH of scrubbing liquor falls below a range of 5.0 to 6.0, additional reagent is required to maintain the reactivity of the absorbent.	 if pH of scrubbing liquor falls below a range of 5.0 to 6.0, additional reagent is required	0
 Then he ran.	He ran like an athlete.	1
Savonarola burned in Florence	Florence became Savonarola's new home.	2
It was deserved.	it was earnt	0
you know your children are going you know you've got five children in school instead of somebody that only has one or none and so you they're paying more income tax to pay for your children to go to school it just you know doesn't make sense	People with more children should get lower tax rates than people with less children.	1
appropriate agency representatives, help resolve	the right agency workers, help fix my security system	1
Asked about abortion the other day on CNN, Republican National Committee Chairman Jim Nicholson also invoked what is apparently the party-line  inclusive party.	The Republican politicians and spokespeople rely on the party-line when it comes to abortion because their constituents insist on it.	1
Dublin has international restaurants galore, and the New Irish Cuisine is built upon fresh products of Ireland's seas, rivers, and farms.	New Irish Cuisine is more popular than Dublin's international restaurants. 	1
In the summer, the Sultan's Pool, a vast outdoor amphitheatre, stages rock concerts or other big-name events.	Most rock concerts take place in the Sultan's Pool amphitheatre.	1
In a moment or two he was back. 	It took a very long time for him to return.	2
"I have been visiting an old woman in the village, she explained, ""and as Lawrence told me you were with Monsieur Poirot I thought I would call for you."""	There is an old woman in the village that I have been visiting. 	0
They managed to control much of the country for nearly a century before the Muslim leader Saladin (Salah-ad-Din) defeated them in 1187.	They were defeated by Saladin, a Muslim leader, and lost control of the large part of the country they had. 	0
Economic growth also depends on education to enhance the knowledge and skills of the nation's work	The knowledge and skills of the nation's work have an influence on the economic growth of the nation.	0
uh-huh yeah yeah they're good	They were better before.	1
i don't know how what it would take to be come up with a true perfect system or if one exists but	I don't know if one exists but I will do my best to research the matter.	1
Melatonin	It has ten grams of melatonin.	1
In Japan, Mainichi Shimbun criticized the new Liberal Democratic Party leader Keizo Obuchi for being devoid of fresh ideas for reviving the Japanese economy.	Mainichi Shimbun was critical of Keizo Obuchi, the new Liberal Democratic Party Leader.	0
They returned to live in the Galilee village of Nazareth, making pilgrimages to Jerusalem.	They would make pilgrimages to Jerusalem.	0
They post loads of newspaper articles--Yahoo!	Yahoo gets many views on their newspaper-based articles.	1
If there was a bit of Fuller in Leonardo, there was also a bit of Liberace in this theatrical, high-living dandy who favored brocade doublets and bad boys with pretty faces.	Leonardo played a very serious straight laced character.	2
Upon commencement of commercial operation of each new utility unit under subpart 1 of part B, the unit shall comply with the requirements of subsection (a)(1).	the unit shall comply with the requirements of subsection a1 under certain conditions.	0
I was to watch for an advertisement in the Times.	I was anticipating an ad in the newspaper. 	0
But of course, that's just another way of saying that liberal democracy--a value Huntington surely ranks above the alternatives morally--may never fit some peoples as naturally as it fits us.	Liberal democracy may not fit some people as good as it fits us.	0
A lack of sleep can always be remedied later, a Madrile??o might tell you, as he tops off a late night with early-morning chocolate con curros (a fried-dough and chocolate snack ideal for absorbing alcohol) on the way home for a shower and then continues on to work.	The people's lack of sleep due to the fast way of living have great health impacts.	1
She was a very good mistress to me, sir.	She was a good mistress. 	0
i mean that's a real attractive option if you have the the technology for it all it was was you know i mean she just used a phone modem and she was like she was sitting in the office	She just used a phone modem and it was like she was sitting in the office. 	0
Similar conclusions have been reached by state legal needs' studies in a dozen states including Florida, Georgia, Hawaii, Illinois, Indiana, Kentucky, Maryland, Massachusetts, Missouri, Nevada, New York, and Virginia, using a variety of methodologies for estimating the unmet legal needs of the poor.	No similar conclusions have been reached by state legal needs' studies 	2
Never know where they won't turn up next. 	It's hard to predict where they will turn up.	0
17 An alternative to unaddressed mail would be to auction off the right to be a third bundle on specific days in specific post offices.	You could auction off the right to another bundle instead of doing unaddressed mail.	0
uh my uh roommate took a voice over course	There was no voice over course available to take. 	2
He was of two minds, one reveled in the peace of this village.	He loved the smiling villagers who loved each other.	1
Case Study Evaluations.	Case Study preparations.	2
and clean up is is uh is a joy uh a little soap and water and air dry them and you don't have to worry about that	You don't need any soap for the clean up.	2
"Hersheimmer ""WELL,"" said Tuppence, recovering herself, ""it really seems as though it were meant to be."" Carter nodded."	See, luck is real!	1
Built in a.d. 688 691, it is decorated in thousands of exquisite, predominantly blue and yellow, Persian ceramic tiles, with Koranic scriptures on the lintels.	It's decorated in hundreds of green and brown ceramic tiles.	2
from from personal parties or from these uh phone answering phone uh commercial things	Do you get arrested from personal parties?	1
He went down on his knees, examining it minutely, even going so far as to smell it. 	He examined it upon his hands and knees. 	0
From the corner of his eye he saw Jamus look over the broken mare.	Jamus saw the wounded warriors over the mare.	1
First, the horsemen brought out a teaser horse.	First, the horsemen brought out a teaser horse because the main horse has not arrived yet.	1
Chapter 1: His real name was Leonard Franklin Slye.	Chapter 1 introduces Leonard Franklin Slye.	0
That, too, was locked or bolted on the inside. 	It too was locked inside.	0
Under the rule, HUD may also accept an assignment of	Depending on the rule, hud may or may not be able to accept. They have to check first.	1
He had forgotten about Adrin.	He remembered Adrin all this time.	2
exactly and when i'm sitting here on the sofa cross-stitching and all of a sudden somebody a man's got their hand on my door knob it's like uh like oh no and so i don't i don't like that and i guess the only way to prevent it would be just to pass a city ordinance to prevent that or	I don't ever sit on my sofa and do cross-stitch. 	2
Comparing our experience on the Acid Rain Program with the NOx SIP Call and the Section 126 petitions demonstrates the benefit of having certain key issues decided by Congress rather than left to Agency rulemakings.	Agency rulemakings have better judgement than congress. 	1
Practice 16: Be Alert to New Monitoring Tools and Techniques	Being alert to new monitoring tools and technigques is practice 16.	0
On Fox News Sunday , host Tony Snow touted a poll showing that 60 percent of Americans think the allegations represent a pattern of behavior.	Tony Snow was not able to show a poll showing the Americans thoughts on the allegations.	2
I noticed that there was a long branch running out from the tree in the right direction.	There was a rather lengthy branch that was pointing in the right direction.  	0
Hindus then went on the rampage through Sikh communities, resulting in a round of communal violence.	The Hindus peacefully protested against the Sikhs.	2
STANDARD COSTING - A costing method that attaches costs to cost objects based on reasonable estimates or cost studies and by means of budgeted rates rather than according to actual costs incurred.	Standard Costing is based on guesstimates of how many turtles were crushed on the highway in 1844.	2
The FDA solicited comments on these requirements in the notice of proposed rulemaking and has evaluated and responded to them in the preamble to the final rule.	The FDA did not seek out comments on these requirements regarding the proposed rulemaking.	2
The following are examples of how teams were used in the agency initiatives we reviewed.	We reviewed how teams were used in the initiatives.	0
Castlerigg near Keswick is the best example.	The best example would be Castlerigg, which is near Keswick.	0
what does um is Robby Robin Williams does he have a funny part in the movie or is	How much screen time does Robin Williams get in the movie?	1
"Mr. Inglethorp, said the Coroner, ""you have heard your wife's dying words repeated here. "	Mr. Inglethorp, you have heard your wife's last words here.	0
 Two more weeks with my cute TV satellite dish have increased my appreciation of it.	My appreciation of my satellite dish has increased.	0
Following publication of the proposed rule (58 Fed.	The proposed rule was not allowed to be published.	2
oh constantly	I jog constantly	1
Such experience better enables the CIOs to work with business managers to build a shared vision for meeting mission needs.	The managers stormed out of the meeting because they did not share the same vision for the organization anymore.	2
is there still that type of music available	I would love to listen to more of it.	1
and see if Kansas if Kansas yeah but then you know it could be what if they're not hitting that night or they're low or anything and see i i feel like the college you know it's kids it's still kids	It could be that they are not playing well that night.	0
Weicker has yet to declare his intentions.	Weicker's intentions have not been declared yet.	0
Leather Wares	The wares are leather belts.	1
No, I don't know. 	I don't know what she said, no.	1
The ITC has enlisted legal services attorneys from across the state to manage each of the 12 categories, and those volunteers will organize contributions and add them to a searchable database.	The volunteers had to write it down with pen and paper as there were no computers to use.	2
when there was the ball that was sort of hit to Buckner to Buckner	The ball was hit away from Buckner.	2
Meet the Press host Tim Russert took his Christmas vacation five days early by letting Rep.	Tim Russert, host of Meet The Press took his Christmas vacation five days sooner.	0
Well, we've just got to get down to it, that's all.	We've been stalling this project for months.	1
After the death of Columbus in 1505, Jamaica became the property of his son Diego, who dispatched Don Juan de Esquivel to the island as Governor.	Don Juan de Esquivel murdered Diego in 1505 in order to become Governor.	2
The last 12 years of his life are a blank.	He can't remember the last 12 years of his life	0
Others watched them with cold eyes and expressionless faces.	Everyone was cheering or cursing as they watched.	2
In reviewing this history, it's important to make some crucial distinctions.	There's no point in analyzing the past.	2
Congress' determination to make agencies accountable for their performance lay at the heart of two landmark reforms of the 1990 the Chief Financial Officers (CFO) Act of 1990 and the Government Performance and Results Act of 1993 (GPRA).	The CFO and GPRA Acts have been successful in keeping agencies honest. 	1
Sixty percent of Americans are frustrated and angry with the health-care system, and 70 percent favor federal intervention.	The majority of Americans are satisfied with the health-care system.	2
Kill chickens.	Do not touch the chickens.	2
We start with the fine review of a shockingly funny comedy about eye disease.	It was a whole comedy series about eye disease.	1
because then they'll or you have a prescription	Either way you won't have a prescription.	2
It doesn't seem expensive--they use it in Bangladesh, after all.	It's probably pretty cheap considering they have it in Bangladesh.	0
The White House denies this.	This has been accepted by the White House.	2
Territorial rights, in the form of a deck chair, can be assured for a nominal sum.	A deck chair can be used to show territorial rights.	0
Clearly, GAO needs assistance to meet its looming human capital challenges.	The GAO has been receiving so many applications from qualified job seekers that they have had to raise the bar in hiring new employees.	1
He fled in his car when cops arrived and led them on a chase that ended in the massive crash.	The cops set off in pursuit until a traffic accident happened.	0
well do you know you have a ten limit a ten minute time limit well that's okay and then they come on and tell you and they tell you got five seconds to say good-bye	You get a fifteen minute time limit, and you always get to stick to that.	2
yeah i'm i'm sort of an acting process engineer but not officially but that's pretty much what i do yeah	I'm sort of an acting process scientists but officially I handle the mail for the week.	1
South Carolina has no referendum right, so the Supreme Court canceled the vote and upheld the ban.	South Carolina doesn't have referendum rights, so the Supreme Court upheld the ban on corporate contributions.	1
Yes, sir.	No, not in particular Sir. 	2
So he clearly found a way to project a bandwagon of strength without putting U.S. troops on the line.	He found a way to portray strength without putting troops in harms way but was villified for it.	1
Answer? said Julius.	Julius needed an answer right then.	1
In these cases, participants risk losing not only their jobs but also a significant portion of their retirement savings if their company files for bankruptcy.	Participants who have worked at the company for less than 4 years are at a higher risk of losing their job during bankruptcy.	1
Explanation building is the inverse  starting with the observations, the evaluator develops a picture of what is happening and why.	Explanation building is going to be the standard approach in the future.	1
The great breathtaking Italian adventure remains the road.	The road offers the adventure and excitement most people come here for. 	1
Back to the subject of celebrity interviews, British magazines have published a huge number with actress Kate Winslet, the star of Titanic , to promote a new British film she has made.	British magazines boycotted Kate Winslet.	2
The good news, however, can be found in reports like this one.	The good news is that the puppy's life was able to be saved. 	1
He argued that these governors shared the congressional Republican agenda enshrined in the 1994 Contract With America.	The governors were angry men	1
They're both excited about it ...	They're excited. 	0
It's a great novelty, but very expensive.	The novelty comes at a large price.	0
Founded by Alexander the Great on the Mediterranean coast in 322 b.c. , Alexandria was capital of Egypt during the Ptolemaic era.	Alexandria, capital of Egypt during the Ptolemaic era, was founded in 322 b.c. by Alexander the Great.	0
The village is Sainte-Marie, named by the explorer when he landed on 4 November 1493, attracted by the waterfalls and river he could see flowing down the green inland mountains.	The village is not named after the settling explorer.	2
It is one of those rare cases in which I can please everyone.	It is a rare situation that lets me make everybody happy.	0
That's what guarantees that people will keep buying tickets as long as the odds are in their favor.	People will continually purchase tickets, as long as they have a good chance of winning. 	0
No, Dave Hanson, you were too important to us for that.	No, Dave Hanson, you were too important to us.	0
These rules implement section 106 of the Federal Crop Insurance Reform Act of 1994.	The Federal Crop insurance Reform Act was passed in 1994.	0
"But in all probability the girl will have entirely forgotten the intervening period, and will take up life where she left off at the sinking of the Lusitania."""	The girl will have most likely forgotten that period.	0
WHOLE LIFE POLICIES - Policies that provide insurance over the insured's entire life and the proceeds (face amount) are paid only upon death of the insured.	A whole life policy is the best choice for someone who expects to live to the age of 90.	1
After the death of Columbus in 1505, Jamaica became the property of his son Diego, who dispatched Don Juan de Esquivel to the island as Governor.	Jamaica was inherited by Columbus' son, Diego.	0
and oh okay and then went to Colorado	After that I left for Colorado.	0
and they're illegal so i don't think it would do us any good to outlaw them all together	Since they're illegal, it wouldn't do us to to outlaw them all together.	0
Czarek was welcomed enthusiastically, even though the poultry brotherhood was paying a lot of sudden attention to the newcomers - a strong group of young and talented managers from an egzemo-exotic chicken farm in Fodder Band nearby Podunkowice.	Czarek was turned away by the group.	2
When the next modernist revolution comes around, he'll be ready.	They have been prepping for years.	1
The average MLS ticket costs a mere $13, one-third the price of an NHL or NBA ticket.	The average cost of MLS tickets were one-third the price of the NHL and NBA.	0
would you barbecue a turkey or a chicken or	Would you barbecue a cow or veal? 	2
In the final rule, HCFA revised certain regulations pertaining to the costs of graduate medical education programs to conform to a recently enacted statute.	Regulations were revised by HCFA pertaining to the costs of graduate programs.	0
You have to have good peripheral vision and you have to really concentrate.	If one get's distracted, it's very easy to make a fatal mistake. 	1
Eighty percent of pagers in the United States were knocked out by a satellite malfunction in space.	Pagers in the United States were unaffected by the satellite malfunction.	2
Maybe in that sense, the behavior of the Pippens and Iversons of the world is defensible.	In one sense their antics are justifiable.	0
Black professionals braid their hair to display their ethnic pride.	Blacks proudly braid their hair.	0
All the Eilat activities can be booked through Red Sea Sports (see Scuba Diving, below).	Currently you can only book activities with Black Sea Boating.	2
The importer pays duties that are required by law	Importer pays taxed that law requires	0
But Fish is not an upbeat pragmatist.	Fish is not an upbeat pragmatist. 	0
All of the islands are now officially and proudly part of France, not colonies as they were for some three centuries.	The islands are part of France now instead of just colonies.	0
The best beach in Europe ' at least that's the verdict of its regulars.	The few who visit say it is the worst beach they have ever been to.	2
In Temple Bar, the bookshop at the Gallery of Photography carries a large selection of photographic publications, and the Flying Pig is a secondhand bookshop.	There is no bookshop in the area.	2
'  Blankley replies, And there are fund-raisers going out in other parts of the country to raise  'The conservatives are coming, the conservatives are coming.	"Blankley replies, there are no fundraisers in other parts of the country to raise ""the conservatives are coming""."	2
The 37 hectares (91 acres) of garden are set on lands above the Wag Wag River, which twists through a steep and narrow valley.	The Wag Wag River was named as such because it resembles a dog's tail.	1
I have to tell you, I tried to understand it.	I have figured it out.	1
Can you point me to housewares?	Please point me in the direction of the pet supplies, I asked.	2
If the face has been getting longer at the bottom over the generations, it has been getting shorter (and broader) on top.	The shape of the face changes over the course of generations.	0
His grandson Akbar chose Agra for his capital over Delhi.	His grandson chose Washington DC as the capital, not New York City.	2
The tabs are getting fed up with women who have become rich and famous by telling everyone else how to be better.	Men who have become rich and famous by telling everyone else how to be better are making people fed up.	2
in well i think i think my long-term sense of of budget concerns is that we're going is a lot of others government's spending goes on goes towards this uh health care and things like that and a lot of causes of poor health or need for health care are brought about by various factors such as such as pollution stress you know work work environment conditions and so forth but generally the government is	The government spends a lot of money on health care.	0
and uh you know once you start up at the top and try to get those dollars on down to the hands that need them you know there's a lot of places the money stops and disappears along the way	Once you start distributing the money, some of it vanishes along the way.	0
The show, which begins each evening at 9:00 p.m. , relates in melodramatic fashion the history of Istanbul while coloured floodlights illuminate the spectacular architecture of the Blue Mosque.	The history of Istanbul is the subject of the show.	0
The day may well come, as Barlow and Dyson seem to believe, when book publishers as we know them will disappear.	Barlow and Dyson do not believe that book publishers have the possibility of disappearing.	2
yeah maybe the maybe they'll bring their good schools with them  you know if the industry comes	Maybe if the industry comes, they will build good schools here.	0
Now open political debate flourished, especially in Calcutta where Karl Marx was much appreciated.	Now political debate died down in Calcutta especially, where Karl Marx was hated.	2
Egg cattle merry wedged marvelous	They were so excited.	1
Be of good cheer,	Be in a bad mood.	2
 He grimaced at his own doubts.	He grimaced at his doubts. 	0
However, the associated cost is primarily some of the costs of assessing and collecting duties on imported merchandise, such as the salaries of import specialists (who classify merchandise) and the costs of processing paperwork.	the associated cost is not some of the costs of assessing and collecting duties 	2
Zoom-out vs. zoom- Ever since Roe , pro-life posters and pamphlets have depicted isolated fetuses.	Pro-life posters haven't depicted isolated fetuses at all after Roe.	2
Decline and Decadence	Poor and rich. 	0
He slowed.	He slowed down to let the horse by.	1
uh unemployment runs approximately six percent	The rate of unemployment is about six percent	0
i'm not exactly sure	I'm completely sure.	2
If he were someone who was an assistant, with an ailing mother to support, well, it would be impossible.	It would not be possible if he was an assistant with a sick mom. 	0
well and i i noticed since we moved down here to Texas my husband is originally from Texas but uh i'm not and that you don't have to have uh such a wide variety of seasonal clothes that you do up north where you have to	I've noticed that since I've moved down to Texas, one doesn't need to have a wide variety of seasonal clothes. 	0
Any point you failed to win by rigging the questions and categories can be cleaned up in the executive summary (the pollster's spin) and the press release and news conference (the client's spin on the pollster's spin).	Any point you didn't get by fixing the questions cannot be added to the executive summary.	2
1 Now that each unit is fully staffed, the LSC Office of Program Performance and its state planning team contain over 260 years of experience in LSC-funded programs.	The LSC has over 260 years of experience with their staff.	0
The baby's father responded by filing a wrongful death suit.	The dad of the infant has filed a wrongful death suit.	0
The park was established in 1935 and was given Corbett's name after India became independent.	The park used to be named after Corbett.	0
You wonder whether he could win a general election coming out of the right lane of the Democratic Party.	He might run in a general election while he is a conservative Democrat.	1
um yeah that sounds kind of neat uh is location at all important to you like you know how far it is from your house or whatever	That sounds really stupid. 	2
but but it is peaceful i mean it is relaxing to do once you find the time to do it	If you have time, it is relaxing.	0
you know and then how long are they supposed to take it	You know how long they're supposed to take the medication	1
The Lake District is not the place to come if you want lots of action into the early morning hours.	The Lake District isn't where to go when you want a lot of action.	0
The book is a parody of Bartlett's , serving up quotes from Lincoln, Jefferson, and Roger Rosenblatt with equal pomposity.	The book is a parody of Patterson's and has quotes from Adele and George Clooney. 	2
As the road climbs toward the entrance, you'll pass fields full of Santorini's famed tomatoes growing on the steep slopes.	Along side the road leading to the entrance, you will pass fields of tomatoes.	0
There are a number of expensive jewelry and other duty-free shops, all with goods priced in US dollars (duty-free goods must always be paid for in foreign currency).	Jewelry and duty-free shops are an interesting place to buy goods.	1
In the USPS view of the world, institutional costs are a larger share of total costs and fewer costs can be expected to be shed, if and when, say, transaction mail leaves the system.	The USPS does not have a view of the world in relation to mail.	2
Marilyn Manson is darker, more serious, and more vicious than Alice Cooper was.	Marilyn Manson and Alice Cooper are some of the nicest people around.	2
yeah so it's easy to do i'm actually interested in getting one of those kind of my wife has been talking about this in the past couple of years one of those kind of campers that pop-up so it's about uh maybe eight foot square and but only about two feet tall and when you get to where you're going it raises up and there's tenting material	I want to get one of those campers. 	0
The experts point out that it is not age alone that determines a Chinese antique's value the dynasties of the past had their creative ups and downs.	Chinese antique's value change not always from age.	0
no North Carolina State	North Carolina is a county	2
Among the disadvantages are that the degree of innovation and product differentiation might continue to be limited.	Limited innovated will be a major advantage for our firm. 	2
It is the official solution, Liq. 	This is an unofficial solution, Liq.	2
but you know they kids seem like when they get ten or twelve years old they fall out of that and and they don't follow it at all you know there're very few scouts go on and become Eagle Scouts and and i don't know what the high rank is for the gals but	The highest rank for Girl Scouts is Hawk Scout.	1
And it needs work too, you know, in case I have to jump out with this parachute from my lil' blue sports plane for real.'	It doesn't need to work.	2
On the platform stood an altar and a large stone pillar.	There was an altar and a pillar on the platform.	0
Strom Thurmond , R-S.C., celebrated his 95 th birthday by announcing that he will relinquish the chairmanship of the Senate Armed Services Committee a year from now.	On his Birthday Strom Thurmond announced his retirement from the Senate Armed Services Committee in one year.	0
He slowed.	He sped up.	2
The bridge would work for a very short time but the stream isn't a clear defense.	The bridge would work temporarily.	0
We've been a couple of mutts, who've bitten off a bigger bit than they can chew.	We are like dogs in many ways. 	1
well that's uh i agree with you there i mean he didn't have the surrounding cast that Montana had there's no doubt about that	I don't agree when you say that he didn't have as much support as Montana.	2
In our family we have two sons in public life.	Our family has two sons in the public eye. 	0
He watched the river flow.	The river roared by.	1
"No, John, I said, ""it isn't one of us. "	I told John it was not one of us.	0
"This is my old friend, Monsieur Poirot, whom I have not seen for years."""	I haven't seen this old friend in over a year. 	0
Also, considerable sums are spent by the Postal Service analyzing the costs associated with worksharing, and mailers/competitors incur considerable expense litigating their positions on worksharing before the Postal Rate Commission.	The Postal Service spends considerable sums on cost analysis.	0
NHTSA noted that the only other possible interpretation of section 330 was to treat the phrase standards promulgated . . . prior to the enactment of this section as	NHTSA's note came out at the critical time, and helped avert a major crisis.	1
uh-huh well maybe well i've enjoyed talking to you okay bye-bye	I hated talking to you.	2
Yet, despite the stock market boom of the 1990s, many households have accumulated little, if any, wealth (see figure 1.3), and half of American households did not own stocks as of 1998.	The benefits of the stock market boom mostly went to investors since at least half of American households owned no stocks in 1998.	1
Daniel took it upon himself to explain a few things.	Daniel explained why the group was doing what they were doing.	1
I can't help but wonder if Shuger thought to ask himself a few simple questions before launching his attack-- questions such as, did Tripp ask to be moved to her current job?	Shuger was not aware that he was poorly prepared.	1
The newspaper publishes just one letter a week from a reader, always with an editorial riposte at the bottom.	Only one letter from readers is published weekly and there is an editorial offered for it.	0
Under the leadership of Henry the Navigator, caravels set out from the westernmost point of the Algarve, in southern Portugal, in search of foreign lands, fame, and wealth.	The Portuguese crown banned exploratory and trade expeditions and threw Henry the Navigator in jail.	2
The dramatic cliffs of the Serra de Tramuntana mountain range hug the coastline of the entire northwest and north, from Andratx all the way to the Cape of Formentor.	The Serra de Tramuntana mountains are far away from the coast.	2
Because the paper did not say that.	The paper did not explain that.	0
oh really yeah so he he's uh he's probably going to be going to jail and and the problem with him is he's on a guaranteed salary like for three years so whether he plays or not they've got to pay him ten million dollars so if they	He will probably lose form in jail and be excluded from the first team for the rest of the year, so he's essentially getting paid for doing nothing.	1
taken up by the oh okay oh so you know well that's i had wondered sometimes i knew that there was a lot of a lot of effort and a lot of work went into a lot of that and i just wondered if if it lasted and if it took you know like yeah	It cost a lot of money to put forth all that effort.  	1
7) Nonautomated First-Class and Standard-A mailers have the option of requesting that their mail be processed manually, even though the costs for such processing are substantially higher than mechanized processing.	Nonautomated First-Class and Standard-A mailers can ask for their mail to be processed by hand, though it costs the postal service more.	0
In about a quarter of an hour the bell rang, and Tuppence repaired to the hall to show the visitor out.	The visitor was only allowed to stay in the house for 15 minutes, no more or no less. 	1
When Mr. Hastings and Mr. Lawrence came in yesterday evening, they found your mistress busy writing letters. 	Your mistress wrote letters last night.	0
The chain wielder smiled at her.	The chain wielder was smiling.	0
That's it. The girl looked at him, then passed her hand across her forehead.	The girl touched her forehead.	0
It displays some superb marble sculptures of the second century a.d. , most notably a Venus and the Emperor Hadrian and his wife Sabina.	Only paintings of 19th century philosophers are on display.	2
The most popular form of shadow theater is known as Wayang Siam.	Wayang Siam is the most popular form of shadow theater. 	0
If that investor were willing to pay extra for the security of limited downside, she could buy put options with a strike price of $98, which would lock in her profit on the shares at $18, less whatever the options cost.	THe strike price could be $8.	2
These men had never seen rain before, Jon realized.	The rain was a novelty to the men.	0
Act Accounting the Great Management Reform Act	Management reform is needed 	1
We start with the fine review of a shockingly funny comedy about eye disease.	The comedy about eye disease was hilarious.	0
Disney CEO Eisner, who's actually underrated as a pop-culture maven (he was responsible for Happy Days and Welcome Back, Kotter ), insists that ABC's downturn is cyclical and that it will soon return to life.	Disney's CEO didn't contribute anything to pop culture. 	2
yeah i went to i went to uh Rice and we had the marching owl band which is quite a it's not known for its musical abilities more so its um comedy abilities	The owl band was well known for its music abilities.	2
FDA suggests there may be an association between BSE and a form of human TSE known as new variant Creutzfeldt-Jakob disease.	The FDA believes there is a link that connects them to the disease.	0
One reason for the high value of MLB teams is the prospect of new, publicly financed ballparks . Owners in Baltimore, Cleveland, Chicago, Denver, and Texas have all reaped major profits from these new facilities, built at little or no cost to the teams.	MLB teams have high value, one of the reasons being new facilities.	0
